x, y, theta, stamp, 
-2.070535742859647e-08, 2.410035904176766e-08, -2.3825739665600668e-07, 1.7613416686060902e+18, 
-2.070535742859647e-08, 2.410035904176766e-08, -2.3825512291635206e-07, 1.7613416686465423e+18, 
-2.070535742859647e-08, 2.410035904176766e-08, -2.3825328027183965e-07, 1.7613416686968015e+18, 
-2.070535742859647e-08, 2.410035904176766e-08, -2.3825598598836782e-07, 1.7613416687660037e+18, 
-2.070535742859647e-08, 2.410035904176766e-08, -2.3825711762877626e-07, 1.7613416688066724e+18, 
-2.070535742859647e-08, 2.410035904176766e-08, -2.382595941664773e-07, 1.7613416688577528e+18, 
-2.070535742859647e-08, 2.410035904176766e-08, -2.3826518850599812e-07, 1.761341668906573e+18, 
-2.070535742859647e-08, 2.410035904176766e-08, -2.3826981491201508e-07, 1.7613416689567526e+18, 
-2.070535742859647e-08, 2.410035904176766e-08, -2.3827154781953895e-07, 1.7613416690174016e+18, 
-2.070535742859647e-08, 2.410035904176766e-08, -2.3827260885439775e-07, 1.7613416690478996e+18, 
7.93201252236031e-05, -4.765062112710439e-05, 0.0005784022127749486, 1.7613416691164035e+18, 
0.007440280169248581, 8.410665031988174e-05, 0.007464003740752597, 1.7613416692076068e+18, 
0.02410525269806385, 0.00015694578178226948, 0.016496986282212394, 1.7613416693076058e+18, 
0.047287050634622574, 0.0010053722653537989, 0.03257931549133511, 1.7613416694045821e+18, 
0.08220639079809189, 0.0026393618900328875, 0.05220784457367794, 1.7613416695148237e+18, 
0.11095664650201797, 0.004567749798297882, 0.06912364639942091, 1.7613416696066086e+18, 
0.14156457781791687, 0.00732575124129653, 0.08907595104010407, 1.7613416697065656e+18, 
0.1716710329055786, 0.010662481188774109, 0.1102293692577539, 1.7613416698045798e+18, 
0.1998492032289505, 0.014422569423913956, 0.1711310071380306, 1.7613416698960264e+18, 
0.23116518557071686, 0.02151739038527012, 0.2916456736080888, 1.7613416700066148e+18, 
0.25885406136512756, 0.031247856095433235, 0.4079121485084624, 1.7613416701065833e+18, 
0.2850194573402405, 0.04386082664132118, 0.5041589384829893, 1.7613416702035968e+18, 
0.3159598410129547, 0.062130384147167206, 0.5741554564455977, 1.761341670317877e+18, 
0.33781898021698, 0.07702494412660599, 0.6499011879795791, 1.7613416704066017e+18, 
0.36219078302383423, 0.0965668261051178, 0.7020126583900007, 1.761341670506585e+18, 
0.3841885030269623, 0.1156836673617363, 0.7188811177776329, 1.7613416706025928e+18, 
0.4105152487754822, 0.13922865688800812, 0.7326026320307664, 1.761341670716852e+18, 
0.43083593249320984, 0.15806607902050018, 0.7452229440085105, 1.7613416708066225e+18, 
0.45293503999710083, 0.1792336404323578, 0.7630319297221427, 1.761341670906597e+18, 
0.4740714430809021, 0.20019489526748657, 0.7944288903577271, 1.7613416710025966e+18, 
0.49840235710144043, 0.2259637713432312, 0.8156411219170977, 1.7613416711169508e+18, 
0.5170950293540955, 0.2457418143749237, 0.8172784349966664, 1.7613416712066222e+18, 
0.5379267930984497, 0.2685776948928833, 0.8455370345997646, 1.761341671306591e+18, 
0.5579074025154114, 0.2917199730873108, 0.8954650048175533, 1.7613416714075876e+18, 
0.5791639685630798, 0.3189649283885956, 0.9141219123356427, 1.7613416715168008e+18, 
0.5955166816711426, 0.3407185971736908, 0.9372248509412152, 1.7613416716066312e+18, 
0.6131319403648376, 0.36571788787841797, 0.967313741234222, 1.761341671706597e+18, 
0.6304545402526855, 0.391461580991745, 0.9854773575566383, 1.761341671806622e+18, 
0.6478855013847351, 0.41864514350891113, 1.014872418768649, 1.761341671912673e+18, 
0.6633276343345642, 0.44378095865249634, 1.0233658529340457, 1.7613416720066097e+18, 
0.6779527068138123, 0.4686891436576843, 1.041047757933958, 1.7613416721026012e+18, 
0.6934562921524048, 0.49560508131980896, 1.0556818316635568, 1.7613416722026273e+18, 
