e, e_dot, e_int, stamp, 
-0.8898192630602383, 0.0, -0.17796385261204767, 1764192477246004663, 
-0.8898192630602383, 0.0, -0.17796385261204767, 1764192477246004663, 
-0.8898192630602383, 0.0, -0.17796385261204767, 1764192477246004663, 
-0.8898192630602383, 0.0, -0.17796385261204767, 1764192477246004663, 
-0.8898192630602383, 0.0, -0.17796385261204767, 1764192477246004663, 
-0.8898192630602383, 0.0, -0.17796385261204767, 1764192477246004663, 
-0.9116582944851103, -0.07279677141623993, -0.17941978804037245, 1764192496887213407, 
-0.8825422563394074, 0.024256689069436232, -0.17893465425898375, 1764192497038168559, 
-0.8926420646686865, 0.06338743272141271, -0.17912284103288026, 1764192497177327702, 
-0.890898310876512, -0.027853515123681765, -0.1777388421256404, 1764192497336222622, 
-0.8978341829859942, -0.017307061057692346, -0.17875830390207953, 1764192497437175928, 
-0.8823184656955438, 0.02859948393656035, -0.17807006397053668, 1764192497576673936, 
-0.8663511188118612, 0.10494354724710979, -0.17643358449955993, 1764192497737278308, 
-0.855845179879712, 0.08824428605277286, -0.1736343176258078, 1764192497837170726, 
-0.7411977796203321, 0.4171777973050972, -0.16422627188746033, 1764192497995720300, 
-0.7700997212376841, 0.28581819547342624, -0.15780951204918187, 1764192498137202711, 
-0.7578893945846348, -0.055638716547675715, -0.1512791263628434, 1764192498238178930, 
-0.7653110600000188, 0.01596220412555101, -0.15288667838815584, 1764192498397523422, 
-0.7601259792781305, -0.007455282311652489, -0.15222176225751893, 1764192498537235713, 
-0.6017508277138859, 0.5452007742871098, -0.14181252446613568, 1764192498637186419, 
-0.5758745949384871, 0.6141712811321446, -0.1291834267953669, 1764192498797396357, 
-0.5452792273167352, 0.18823866799050237, -0.11486030999794054, 1764192498941249709, 
-0.3860054602265004, 0.6328971157066224, -0.1004772854987815, 1764192499083226732, 
-0.3627767822458354, 0.6083414835696658, -0.08627076465260472, 1764192499243447429, 
-0.33670622664938976, 0.1643307785903688, -0.07236589794144838, 1764192499340240898, 
-0.292486098519397, 0.2343022790881281, -0.06613127382764147, 1764192499482228755, 
-0.24797605358803576, 0.29576724353784667, -0.0584778919171215, 1764192499647224514, 
-0.11141388540628316, 0.6035740437103795, -0.04345840250091439, 1764192499737245126, 
-0.04871853125049941, 0.6641917411251211, -0.027207231349654554, 1764192499882241620, 
-0.06835944849578635, 0.14351478970165607, -0.01523279101017126, 1764192500042354100, 
-0.05871436956079368, -0.033319461034314234, -0.011719489953805295, 1764192500182205000, 
-0.05871436956079368, 0.03215026311664223, -0.01238587917449158, 1764192500182205000, 
-0.09186191148069023, -0.11049180639965517, -0.013952710040151839, 1764192500287240199, 
-0.009785318152431666, 0.16309683802787336, -0.01069077327959437, 1764192500447253661, 
-0.06794026858300306, 0.07973880965895723, -0.011305833214408331, 1764192500586726884, 
-0.06794026858300306, -0.19384983476857132, -0.009711057021229185, 1764192500586726884, 
-0.07133292068653585, -0.011308840345109298, -0.013814230523502799, 1764192500687238495, 
-0.08084486137920388, -0.0430153093206694, -0.014674536709916185, 1764192500847384040, 
-0.018314914902596735, 0.1767266859464637, -0.011366179797889097, 1764192500987183258, 
-0.018314914902596735, 0.20843315492202383, -0.007831646078959822, 1764192500987183258, 
0.05017047319980095, 0.22828462700799226, 0.0009027095596404985, 1764192501087278393, 
0.05711707097731833, 0.2514399529330502, 0.005931508618301502, 1764192501247392334, 
0.05711707097731833, 0.02315532592505794, 0.010960307676962508, 1764192501247392334, 
0.04325168806554003, -0.046217943039261, 0.010499055334678445, 1764192501387211459, 
0.04343727614463555, -0.0455993161089426, 0.009587069012499594, 1764192501486636945, 
0.06168604597608818, 0.061447859701827166, 0.009891667345750917, 1764192501647300704, 
0.10782289105619891, 0.21461871637187788, 0.014196414211794843, 1764192501787244404, 
0.10782289105619891, 0.15378948360036912, 0.0184887885392324, 1764192501787244404, 
0.10963166237056987, 0.006029237714569868, 0.02168516296553118, 1764192501926702078, 
0.16905069147670126, 0.20409266806834117, 0.025767016326898002, 1764192502047272473, 
0.1871843771690046, 0.25850904932811575, 0.031057782067751716, 1764192502187268216, 
0.1871843771690046, 0.06044561897434445, 0.03622796305431403, 1764192502187268216, 
0.14421880213123028, -0.14321858345924773, 0.034572503764615965, 1764192502326788298, 
0.14421880213123028, -0.14321858345924773, 0.03170813209543101, 1764192502326788298, 
0.12800478648599067, -0.05404671881746537, 0.027762826049896747, 1764192502487339091, 
0.127323049910546, -0.05631917406894763, 0.026636442568517795, 1764192502587242289, 
0.07239829462787084, -0.18535497286039945, 0.021848408734960502, 1764192502749040194, 
0.07239829462787084, -0.18308251760891717, 0.01814130927775251, 1764192502749040194, 
0.014944270727183961, -0.1915134130022896, 0.010649390665528375, 1764192502888302928, 
-0.0009273484076127714, -0.2444188101182787, 0.005761014463162802, 1764192503036238778, 
-0.01680451903655844, -0.10582929921247468, -0.00018583978113248338, 1764192503127230858, 
-0.01680451903655844, -0.052923902096485564, -0.002302425765381977, 1764192503127230858, 
0.04208891208003873, 0.19631143705532392, 0.00056532493379479, 1764192503287254468, 
0.08889300383331455, 0.35232507623291, 0.0076118264584529895, 1764192503435236808, 
0.05425668592105137, 0.040559246136708804, 0.012349240122293643, 1764192503526860286, 
0.05425668592105137, -0.11545439304087728, 0.01316042504502782, 1764192503526860286, 
0.12349307464919979, 0.23078796242716137, 0.015467096432753501, 1764192503687281768, 
0.10953733323023196, 0.1842688243639353, 0.019152472920032207, 1764192503834237193, 
0.09880096903228519, -0.08230701872304864, 0.02212209179411446, 1764192503927559103, 
0.09880096903228519, -0.03578788065982256, 0.020475951419653488, 1764192503927559103, 
-0.008973669008087493, -0.35924879346790894, 0.012575217937098858, 1764192504087263985, 
-0.025975397225394548, -0.41592122085893246, 0.00425679351992021, 1764192504238233564, 
-0.10127785272142364, -0.30768061237778715, -0.009081794596993712, 1764192504326750598, 
-0.10127785272142364, -0.25100818498676364, -0.015235406844549456, 1764192504326750598, 
-0.07810586172430833, 0.07723996999038436, -0.018710771144477042, 1764192504487293972, 
-0.07490747192715919, 0.08790126931421487, -0.016952745758192743, 1764192504638242084, 
0.03292127099823039, 0.3700904424084624, -0.008006137510215809, 1764192504777485282, 
0.03292127099823039, 0.3594291430846319, -0.0006043286620465605, 1764192504777485282, 
0.18353590483566284, 0.5020487794581082, 0.016625229788808243, 1764192504937295247, 
0.1600492904601083, 0.42376006487292633, 0.025100431086266767, 1764192505037272018, 
0.1600492904601083, -0.07828871458518183, 0.033575632383725296, 1764192505037272018, 
0.2160922154511944, 0.186809749970287, 0.0357460530914274, 1764192505196938148, 
0.2542028855248102, 0.31384531688233963, 0.04202295942907419, 1764192505337272985, 
0.1826036994760457, -0.11162838658382894, 0.04352658669680335, 1764192505437246581, 
0.1826036994760457, -0.23866395349588157, 0.04129401896512677, 1764192505437246581, 
0.1320817320295895, -0.16840655815485403, 0.03315260873211206, 1764192505597431235, 
0.0007931859093622817, -0.6060350452222781, 0.0210319078276665, 1764192505737300018, 
-0.051482005493542315, -0.6118791250771061, 0.005426194163027298, 1764192505837276497, 
-0.051482005493542315, -0.174250638009682, -0.006811388338514823, 1764192505837276497, 
-0.1079500558150085, -0.18822683440488727, -0.014060937786806208, 1764192505996985504, 
-0.14890772492497995, -0.3247523981047921, -0.02055598574890205, 1764192506137306269, 
-0.14890772492497995, -0.13652556369990484, -0.02705103371099789, 1764192506137306269, 
-0.017602472002977043, 0.43768417640667634, -0.021027861456862463, 1764192506288396952, 
-0.053108375665837815, 0.3193311641971404, -0.014641238172919653, 1764192506377534405, 
-0.0024069056165562097, 0.05065188795473611, -0.0048745168856914045, 1764192506537306166, 
-0.0024069056165562097, 0.16900490016427203, -0.003861479126596682, 1764192506537306166, 
-0.07562330401660566, -0.24405466133349818, -0.005362474349981205, 1764192506688399152, 
-0.16387063664182844, -0.5382124367509075, -0.016126723084999354, 1764192506797334356, 
-0.24296335228557353, -0.5578001608965596, -0.032163819529600506, 1764192506937302748, 
-0.24296335228557353, -0.2636423854791503, -0.0433198227475317, 1764192506937302748, 
-0.35858722970861756, -0.3854129247434801, -0.056300928951984304, 1764192507088302020, 
-0.35370876703327503, -0.3691513824923383, -0.06368395660183107, 1764192507247339330, 
-0.4028583307172996, -0.1475703366956068, -0.07434362183061281, 1764192507337318373, 
-0.4028583307172996, -0.16383187894674855, -0.07729502856452494, 1764192507337318373, 
-0.5034142853378532, -0.3351865154018452, -0.08727539645149682, 1764192507486718935, 
-0.4893047853237472, -0.2881548486881587, -0.09303849342526, 1764192507647299420, 
-0.45256112002727045, 0.16951055103527568, -0.09635201271259139, 1764192507787542123, 
-0.4197465397615816, 0.23186081854055204, -0.09077416300750661, 1764192507887322187, 
-0.4197465397615816, 0.1093819342189628, -0.08613694663669558, 1764192507887322187, 
-0.4743835265438232, -0.18212328927413868, -0.0875917737377991, 1764192508047689947, 
-0.41800150608973086, 0.005816778906169162, -0.0874754381596757, 1764192508136834577, 
-0.41800150608973086, 0.18794006818030784, -0.08735910258155233, 1764192508136834577, 
-0.3820364158675911, 0.11988363407379928, -0.08120262853647019, 1764192508287313741, 
-0.49095195130081626, -0.243168150703618, -0.08606599155054255, 1764192508446651309, 
-0.511807135850558, -0.43256906660988986, -0.09231970020126436, 1764192508587240636, 
-0.40819151786540675, 0.27586811145136503, -0.0940633736677854, 1764192508687170836, 
-0.40819151786540675, 0.3453853932838376, -0.08854601143875811, 1764192508687170836, 
-0.32250024922106335, 0.28563756214781133, -0.07592555233012513, 1764192508847508634, 
