e, e_dot, e_int, stamp, 
0.7852476862625609, -1.518366849308171e-11, 0.07123079839541722, builtin_interfaces.msg.Time(sec=1761341668, nanosec=696801539), 
0.7852476862652665, 1.794444391172589e-11, 0.0938066340393209, builtin_interfaces.msg.Time(sec=1761341668, nanosec=766003667), 
0.7852476862663982, 5.450941860248488e-12, 0.08627584881113731, builtin_interfaces.msg.Time(sec=1761341668, nanosec=806672412), 
0.7852476862688748, 2.0298753592644973e-11, 0.07204582895613737, builtin_interfaces.msg.Time(sec=1761341668, nanosec=857752844), 
0.7852476862744691, 3.650649625662067e-11, 0.0784466749593442, builtin_interfaces.msg.Time(sec=1761341668, nanosec=906572961), 
0.7852476862790955, 3.1588142007904174e-11, 0.07773934897189722, builtin_interfaces.msg.Time(sec=1761341668, nanosec=956752625), 
0.7852476862808284, 1.1511616333510502e-11, 0.0870279158579028, builtin_interfaces.msg.Time(sec=1761341669, nanosec=17401579), 
0.7852476862818895, 5.8315935376465146e-12, 0.0715730831518374, builtin_interfaces.msg.Time(sec=1761341669, nanosec=47899768), 
0.7867873252916179, 0.016827655020526213, 0.07779174889913808, builtin_interfaces.msg.Time(sec=1761341669, nanosec=116403386), 
0.9170646922482609, 0.6339196418143591, 0.1325088829624543, builtin_interfaces.msg.Time(sec=1761341669, nanosec=207606769), 
1.1745280602637131, 0.9409861767059388, 0.18345108460870516, builtin_interfaces.msg.Time(sec=1761341669, nanosec=307605812), 
1.4828541759214, 1.0277635545561734, 0.23469253531182377, builtin_interfaces.msg.Time(sec=1761341669, nanosec=404582027), 
1.6981504614041827, 0.7400312385285495, 0.3008482233320913, builtin_interfaces.msg.Time(sec=1761341669, nanosec=514823788), 
1.7428819788284968, 0.13525279052921438, 0.33158524075038803, builtin_interfaces.msg.Time(sec=1761341669, nanosec=606608556), 
1.9046694720547221, 0.5875611562121262, 0.34166496572055605, builtin_interfaces.msg.Time(sec=1761341669, nanosec=706565661), 
1.9040733897499937, -0.0019877936798603324, 0.36635394203278027, builtin_interfaces.msg.Time(sec=1761341669, nanosec=804579755), 
1.8472352406799235, -0.19329923806696014, 0.3571953259039449, builtin_interfaces.msg.Time(sec=1761341669, nanosec=896026433), 
1.75784878929091, -0.325823577717474, 0.37101418806724107, builtin_interfaces.msg.Time(sec=1761341670, nanosec=6614745), 
1.6557168521156536, -0.30784427795967106, 0.3692326031705923, builtin_interfaces.msg.Time(sec=1761341670, nanosec=106583311), 
1.5724089908084298, -0.2777801884485162, 0.32738230531889967, builtin_interfaces.msg.Time(sec=1761341670, nanosec=203596677), 
1.5527562809078954, -0.06752578093391914, 0.33672353117580645, builtin_interfaces.msg.Time(sec=1761341670, nanosec=317877078), 
1.4739151387252496, -0.22996402268091976, 0.31121208477818874, builtin_interfaces.msg.Time(sec=1761341670, nanosec=406601663), 
1.3730452917804912, -0.3789624072619722, 0.2767539958538601, builtin_interfaces.msg.Time(sec=1761341670, nanosec=506585134), 
1.3668554920090699, -0.0206360768418789, 0.2752901406883361, builtin_interfaces.msg.Time(sec=1761341670, nanosec=602592764), 
1.3957216098907614, 0.10022161044801536, 0.2898613084794094, builtin_interfaces.msg.Time(sec=1761341670, nanosec=716851895), 
1.3177488136782913, -0.2274735668243737, 0.27750246227827186, builtin_interfaces.msg.Time(sec=1761341670, nanosec=806622394), 
1.3181885954269, 0.0016329854221136053, 0.2549958559717477, builtin_interfaces.msg.Time(sec=1761341670, nanosec=906597001), 
1.3010950758392443, -0.05699287082520729, 0.25718577437012774, builtin_interfaces.msg.Time(sec=1761341671, nanosec=2596729), 
1.2533684018665756, -0.1657180874952365, 0.27154218432688787, builtin_interfaces.msg.Time(sec=1761341671, nanosec=116950665), 
1.253114117787039, -0.0007412194351186347, 0.25894762313438063, builtin_interfaces.msg.Time(sec=1761341671, nanosec=206622215), 
1.1748086365398747, -0.2910825906587779, 0.2327069635045419, builtin_interfaces.msg.Time(sec=1761341671, nanosec=306590892), 
1.1423156604578066, -0.10834385681983176, 0.2391647660987928, builtin_interfaces.msg.Time(sec=1761341671, nanosec=407587589), 
1.086243338941689, -0.18506321883680887, 0.2384738420567574, builtin_interfaces.msg.Time(sec=1761341671, nanosec=516800779), 
1.058828909526082, -0.0836725228750816, 0.2181111374059434, builtin_interfaces.msg.Time(sec=1761341671, nanosec=606631155), 
1.0414745574415991, -0.06439674735593891, 0.2015982953160913, builtin_interfaces.msg.Time(sec=1761341671, nanosec=706597108), 
0.9524365086055168, -0.2968945798178651, 0.20350668344430106, builtin_interfaces.msg.Time(sec=1761341671, nanosec=806622001), 
0.9402376033791873, -0.040652897695275025, 0.20155256582952014, builtin_interfaces.msg.Time(sec=1761341671, nanosec=912673134), 
0.831212628543591, -0.34268052825547923, 0.18158134589823638, builtin_interfaces.msg.Time(sec=1761341672, nanosec=6609772), 
0.7947983864486305, -0.12921561764133135, 0.16246750972667062, builtin_interfaces.msg.Time(sec=1761341672, nanosec=102601158), 
0.7717747447795349, -0.07995037412035996, 0.15666944487649856, builtin_interfaces.msg.Time(sec=1761341672, nanosec=202627424), 
0.6172116778603665, -0.5150749334818664, 0.15298721038729945, builtin_interfaces.msg.Time(sec=1761341672, nanosec=312769133), 
0.5331316106213551, -0.2544602706289083, 0.13204083564777622, builtin_interfaces.msg.Time(sec=1761341672, nanosec=408713887), 
0.26099106545402617, -0.9454765505550862, 0.09118999242689416, builtin_interfaces.msg.Time(sec=1761341672, nanosec=506606955), 
