e, e_dot, e_int, stamp, 
-2.3548033527131067, 0.0, -0.4709606705426213, 1764193991961722647, 
-2.3548033527131067, 0.0, -0.4709606705426213, 1764193991961722647, 
-2.3548033527131067, 0.0, -0.4709606705426213, 1764193991961722647, 
-2.3548033527131067, 0.0, -0.4709606705426213, 1764193991961722647, 
-2.3548033527131067, 0.0, -0.4709606705426213, 1764193991961722647, 
-2.371647906253153, -0.05614851180015368, -0.4720836407786244, 1764194005092694083, 
-2.3611601875048773, -0.02118944930590209, -0.4725074297647424, 1764194005252788420, 
-2.3612732762489186, 0.03458210001411407, -0.47293875800046326, 1764194005402666974, 
-2.373044564376143, -0.039614589570885116, -0.4730318685419959, 1764194005492708437, 
-2.3727796627277504, -0.03835462159610614, -0.47380650022352083, 1764194005654071201, 
-2.325434883886515, 0.1586989349654259, -0.4714172740660273, 1764194005802678466, 
-2.3217298788896352, 0.1701659461270507, -0.46799629503359336, 1764194005893744520, 
-2.282993516508561, 0.14147122459318004, -0.4620105519523141, 1764194006053844745, 
-2.2522837913792197, 0.23148695836805158, -0.4571338124518277, 1764194006202674348, 
-2.2282218048181806, 0.18257237230126844, -0.4508999408470641, 1764194006362845058, 
-2.2011959688208615, 0.170292741861194, -0.44544677100121743, 1764194006502742710, 
-2.163582883531014, 0.21546307095722175, -0.43953337714467033, 1764194006602680765, 
-2.137293286892789, 0.21300893976024118, -0.4334714759496443, 1764194006762927169, 
-2.1249310598903497, 0.12883941213554775, -0.42838714868761024, 1764194006902751770, 
-2.084951511414639, 0.17447258492716777, -0.4231450572131852, 1764194007002682914, 
-2.082261424775046, 0.14223211705101177, -0.41947626640533564, 1764194007144445796, 
-2.0281016729813524, 0.18949946144428834, -0.4130209739447358, 1764194007304756060, 
-2.0284409635944485, 0.17940153726865896, -0.40925360409005646, 1764194007443695618, 
-2.000080711011861, 0.0934032065649711, -0.4037748898391775, 1764194007561877436, 
-1.9701700078256699, 0.19423651922926202, -0.39991277882879867, 1764194007704761097, 
-1.9376171827913622, 0.20821176073499612, -0.39385786010859286, 1764194007842699044, 
-1.929516907368484, 0.1355103348572865, -0.38915360653236775, 1764194007961082565, 
-1.929516907368484, 0.027000918076260927, -0.38644339983522197, 1764194007961082565, 
-1.8870292755266875, 0.1416254394726546, -0.3830708726842437, 1764194008102899307, 
-1.851507486382114, 0.2600314032878999, -0.37787024461848573, 1764194008242754018, 
-1.8345708251040478, 0.17486150140879916, -0.3715405058008566, 1764194008343528119, 
-1.8345708251040478, 0.05645553759355382, -0.3680432757726806, 1764194008343528119, 
-1.7932178992201528, 0.1378430862796498, -0.3641573032952165, 1764194008503185492, 
-1.7722401885675945, 0.2077687884548444, -0.36000192752611965, 1764194008642960477, 
-1.7411328376114064, 0.17361687202915496, -0.35377272835994356, 1764194008743477181, 
-1.7411328376114064, 0.10369116985396036, -0.3503003909193605, 1764194008743477181, 
-1.696280081424165, 0.14950918729080462, -0.34523638377646515, 1764194008902763252, 
-1.6791049997359284, 0.20675945958492647, -0.3411011945847666, 1764194009043215082, 
-1.624091624192408, 0.24062819077252348, -0.3332984470235001, 1764194009193135361, 
-1.624091624192408, 0.1833779184784016, -0.3284858832080496, 1764194009193135361, 
-1.6396283195889225, -0.05178898465504863, -0.32585410453158253, 1764194009302962868, 
-1.5736910719640198, 0.16800184076129376, -0.3224940677163567, 1764194009442741027, 
-1.5736910719640198, 0.2197908254163424, -0.3191340309011308, 1764194009442741027, 
-1.5575283351582705, 0.053875789352497705, -0.313660698605754, 1764194009593323779, 
-1.5065042904151378, 0.2239559384962734, -0.30918157983582856, 1764194009702761713, 
-1.4627205955258002, 0.31602579877490083, -0.30178354807328056, 1764194009842734552, 
-1.2807259718366026, 0.7525943952617838, -0.28333005718516935, 1764194009992715907, 
-1.2807259718366026, 0.6066487456306587, -0.2682781692799337, 1764194009992715907, 
-1.235323283970664, 0.15134229288646198, -0.2531183485095913, 1764194010152759310, 
-1.202802128312305, 0.25974614508099236, -0.24792342560797143, 1764194010242790307, 
-1.202802128312305, 0.10840385219453037, -0.2427285027063516, 1764194010242790307, 
-1.1607283205024963, 0.14024602603269543, -0.23775550514180707, 1764194010393585077, 
-1.1152582437289116, 0.2918129486113112, -0.23191924616958084, 1764194010552793932, 
-0.9660454085798653, 0.6489430397421033, -0.21613546485408489, 1764194010692786162, 
-0.9660454085798653, 0.49737611716348756, -0.20315660405924282, 1764194010692786162, 
-0.904671965105404, 0.20457814491487092, -0.18911751881767563, 1764194010792892189, 
-0.2127298846617327, 2.5110517463937754, -0.13889648388980014, 1764194010952771152, 
-0.06567499885957018, 2.7966565541527793, -0.07887178990844712, 1764194011092773862, 
-0.06567499885957018, 0.49018295267387507, -0.022938658825391537, 1764194011092773862, 
0.02609196081341114, 0.3058898655766044, -0.007017202460381947, 1764194011193041393, 
0.0943683626563403, 0.5334778717197016, 0.003652354974012084, 1764194011352779031, 
0.1987802339644067, 0.5756275771699851, 0.021282703828943875, 1764194011496786749, 
0.1987802339644067, 0.348039571026888, 0.03279525537234358, 1764194011496786749, 
0.09686116480509233, -0.3397302305310479, 0.03296144218226038, 1764194011653116624, 
0.0536573134844347, -0.4837430682665733, 0.023286580816928915, 1764194011752823143, 
0.036895963776319096, -0.1998840034292441, 0.012494296137723074, 1764194011892803939, 
0.036895963776319096, -0.05587116569371867, 0.008496616069138192, 1764194011892803939, 
-0.0033351031486850147, -0.13410355641668037, 0.004697121626930212, 1764194012053055708, 
-0.0764470747989976, -0.37781012858438895, -0.0028590809447575673, 1764194012152807977, 
-0.06437486596652375, -0.20346587605946245, -0.009610469594280423, 1764194012292790445, 
-0.06437486596652375, 0.040240696108246134, -0.013679787115469673, 1764194012292790445, 
-0.041740794872016984, 0.07544690364835589, -0.011366035120337632, 1764194012453008540, 
0.09903337336166462, 0.5446941310939613, -0.0004721524984584076, 1764194012552811943, 
0.11271155555060464, 0.5148411680754054, 0.011333608936016818, 1764194012692804780, 
0.11271155555060464, 0.045593940629800045, 0.021630432297524926, 1764194012692804780, 
0.15292348531963817, 0.13403976589677846, 0.025223106428056495, 1764194012853221531, 
0.15241967953866586, 0.13236041329353743, 0.027870314693927246, 1764194013002747344, 
0.2155839593275677, 0.20886824669309836, 0.03472847494572478, 1764194013092797195, 
0.2155839593275677, 0.2105475992963394, 0.03890583987958675, 1764194013092797195, 
0.1574208639705108, -0.19387698452352295, 0.03923925217504308, 1764194013243314085, 
0.07820437213755538, -0.45793195730004105, 0.030080613029042257, 1764194013402761270, 
0.05250691679241726, -0.3497131572603118, 0.019208810193365563, 1764194013493800237, 
0.05250691679241726, -0.08565818448379374, 0.012214547048159326, 1764194013493800237, 
