e, e_dot, e_int, stamp, 
-1.3309283531173384, -0.038641210871117604, -0.264712871069636, 1763155112524721507, 
-1.3309283531173384, -0.03499876682046654, -0.26548569528705834, 1763155112524721507, 
-1.3292989489983489, 0.005431347063298286, -0.2660770436822017, 1763155112780632729, 
-1.3274364420329952, 0.011639703614477378, -0.26584424960991215, 1763155112872661147, 
-1.3274364420329952, 0.006208356551179091, -0.2656114555376226, 1763155112872661147, 
-1.3193451707875923, 0.026970904151342918, -0.26494787032357214, 1763155113180759374, 
-1.3227875119091679, 0.015496433746090924, -0.26463794164865034, 1763155113322632852, 
-1.322974931448059, -0.012099202201555729, -0.2643405076096546, 1763155113420106148, 
-1.3222077856149588, 0.0019324209806970138, -0.2645313485981457, 1763155113579721248, 
-1.3224644407791637, 0.001701635562984342, -0.2645098105228121, 1763155113722646449, 
-1.3295565355160834, -0.024495833003748874, -0.26494858412734706, 1763155113819515850, 
-1.2958622018987547, 0.08867412960136341, -0.2631922118796001, 1763155113979641870, 
-1.2404620014606844, 0.2969817801846634, -0.2577253825917015, 1763155114122654132, 
-1.17773225972942, 0.39376647389778235, -0.24760376420592392, 1763155114262547158, 
-1.11030122235531, 0.4338692636845816, -0.23523303223636094, 1763155114422632493, 
-1.066631009081595, 0.37033750215941685, -0.22364429941108832, 1763155114522606942, 
-1.0020425659639716, 0.36086218797112785, -0.21193165316005844, 1763155114662637069, 
-0.954487036260932, 0.373813242735543, -0.20154404075376653, 1763155114822706410, 
-0.8973447208233212, 0.3489928171355013, -0.190258288203215, 1763155114922637422, 
-0.836584160909756, 0.39300958450392015, -0.17922772786626728, 1763155115062377497, 
-0.7643459214274902, 0.4433293313194364, -0.1665516535440378, 1763155115222656889, 
-0.7171170421604687, 0.39822372916429094, -0.15453647496651435, 1763155115322730088, 
-0.6534579648419355, 0.3696265219518491, -0.1423280618953263, 1763155115482992346, 
-0.5903053433042361, 0.42270566285410854, -0.13072535668710933, 1763155115623699996, 
-0.5447839653246889, 0.36224666505748887, -0.11923648489805737, 1763155115722667342, 
-0.47398935279133037, 0.38771996837635253, -0.10727191076135034, 1763155115862915548, 
-0.4204774706965926, 0.4143549820936543, -0.09595005258750745, 1763155116023669995, 
-0.35625943856444553, 0.39243304742294943, -0.08338175080349124, 1763155116167589651, 
-0.35625943856444553, 0.21406010710715684, -0.07553308985503224, 1763155116167589651, 
-0.29712803279177624, 0.19710468590889763, -0.06730979399471115, 1763155116266680839, 
-0.22843411236032418, 0.4260844206804045, -0.05878810558110306, 1763155116426672155, 
-0.18411074881178302, 0.37672427993331076, -0.0473115262642589, 1763155116568674003, 
-0.18411074881178302, 0.14774454516180388, -0.03977704066559268, 1763155116568674003, 
-0.13326321579681855, 0.16949177671654825, -0.03343231422802564, 1763155116728044262, 
-0.09931912070657489, 0.28263876035069374, -0.027779539021011764, 1763155116829679811, 
