e, e_dot, e_int, stamp, 
0.029991004856835705, -1.6987557192664694e-13, 0.004801671804012556, builtin_interfaces.msg.Time(sec=1761339672, nanosec=635665138), 
0.029991004856892548, 3.9015828004693733e-13, 0.002865592468484492, builtin_interfaces.msg.Time(sec=1761339672, nanosec=682649127), 
0.029991004856892548, 0.0, 0.004286720702287171, builtin_interfaces.msg.Time(sec=1761339672, nanosec=778598685), 
0.029991004856835705, -1.9747674384217596e-13, 0.004334954005767282, builtin_interfaces.msg.Time(sec=1761339672, nanosec=827190933), 
0.029991004856835705, 0.0, 0.003353718985655702, builtin_interfaces.msg.Time(sec=1761339672, nanosec=890422847), 
0.029991004856835705, 0.0, 0.00286718055217005, builtin_interfaces.msg.Time(sec=1761339672, nanosec=922792283), 
0.03382607099761077, 0.039492667720820204, 0.004572379398817209, builtin_interfaces.msg.Time(sec=1761339673, nanosec=36648397), 
0.05922211581011969, 0.0743512840323736, 0.00852186736677827, builtin_interfaces.msg.Time(sec=1761339673, nanosec=130576500), 
0.13121788385846903, 0.25549956384671985, 0.014350687184859013, builtin_interfaces.msg.Time(sec=1761339673, nanosec=228617077), 
0.2855030135759664, 0.5245621572841124, 0.03046465378601455, builtin_interfaces.msg.Time(sec=1761339673, nanosec=322603610), 
0.49660361716455403, 0.7486909625963386, 0.06333509765231816, builtin_interfaces.msg.Time(sec=1761339673, nanosec=436654078), 
0.7884895557171501, 0.853089992150364, 0.10892546098949939, builtin_interfaces.msg.Time(sec=1761339673, nanosec=530662426), 
0.9621208968139191, 0.6156592997349875, 0.14314916472074035, builtin_interfaces.msg.Time(sec=1761339673, nanosec=627756252), 
1.0889892069742984, 0.43555227414899084, 0.18230076759602812, builtin_interfaces.msg.Time(sec=1761339673, nanosec=723260809), 
1.2507322504728091, 0.5645212074313576, 0.22881558288285064, builtin_interfaces.msg.Time(sec=1761339673, nanosec=835654351), 
1.4065281113158206, 0.4620546046527936, 0.2590249646544518, builtin_interfaces.msg.Time(sec=1761339673, nanosec=930688232), 
1.512589889605579, 0.37201391466466704, 0.26686675357075856, builtin_interfaces.msg.Time(sec=1761339674, nanosec=27651716), 
1.5629142270903074, 0.17300099449372242, 0.28584720041167794, builtin_interfaces.msg.Time(sec=1761339674, nanosec=122016977), 
1.5216803355444, -0.14565349970581298, 0.3187522890120802, builtin_interfaces.msg.Time(sec=1761339674, nanosec=235660961), 
1.5456033500027282, 0.07016947023589103, 0.3219067851626002, builtin_interfaces.msg.Time(sec=1761339674, nanosec=330586972), 
1.5674521521166516, 0.07672221724322174, 0.2966188806356055, builtin_interfaces.msg.Time(sec=1761339674, nanosec=427658234), 
1.611999180077982, 0.1529701892661444, 0.3283110201586479, builtin_interfaces.msg.Time(sec=1761339674, nanosec=539036001), 
1.523685236127499, -0.26430751944261605, 0.3260944070539331, builtin_interfaces.msg.Time(sec=1761339674, nanosec=635664786), 
1.61871436382722, 0.32781511120011436, 0.305157538914909, builtin_interfaces.msg.Time(sec=1761339674, nanosec=731588763), 
1.6342051836159603, 0.05383019718049031, 0.30567975615473997, builtin_interfaces.msg.Time(sec=1761339674, nanosec=827650372), 
1.6420917775889357, 0.027366444150008315, 0.3134909019033183, builtin_interfaces.msg.Time(sec=1761339674, nanosec=923717574), 
1.5835080211127355, -0.20327352539527546, 0.25842285466540016, builtin_interfaces.msg.Time(sec=1761339674, nanosec=987177054), 
1.6459902390911787, 0.3282000733824861, 0.3375645049221966, builtin_interfaces.msg.Time(sec=1761339675, nanosec=131594983), 
1.6387625154393062, -0.01668242464057797, 0.39031773761260735, builtin_interfaces.msg.Time(sec=1761339675, nanosec=227705092), 
1.6360684205773643, -0.00934377902585957, 0.31423036714740427, builtin_interfaces.msg.Time(sec=1761339675, nanosec=323166891), 
1.6171364076608268, -0.06610676771531604, 0.3391186854335967, builtin_interfaces.msg.Time(sec=1761339675, nanosec=435669697), 
1.594745751942785, -0.06634102891632698, 0.33682236655793973, builtin_interfaces.msg.Time(sec=1761339675, nanosec=531598698), 
1.6417672369711926, 0.16338988397056847, 0.3106179002720678, builtin_interfaces.msg.Time(sec=1761339675, nanosec=627660017), 
1.6380716013075918, -0.012823877158439015, 0.3375491177248641, builtin_interfaces.msg.Time(sec=1761339675, nanosec=739338934), 
1.592288779401237, -0.13665014888577026, 0.3378298389425159, builtin_interfaces.msg.Time(sec=1761339675, nanosec=835677868), 
1.5634139086302308, -0.09990723920267534, 0.30881892813943096, builtin_interfaces.msg.Time(sec=1761339675, nanosec=932601430), 
1.599688156168606, 0.12475207881985485, 0.3036212704895322, builtin_interfaces.msg.Time(sec=1761339676, nanosec=27221285), 
1.572580117713434, -0.09549806241396891, 0.3018904051055755, builtin_interfaces.msg.Time(sec=1761339676, nanosec=123845517), 
1.5592181972811634, -0.046095822809991666, 0.3287705264706567, builtin_interfaces.msg.Time(sec=1761339676, nanosec=235678307), 
1.5860770396728552, 0.08005655106965731, 0.32672910723769183, builtin_interfaces.msg.Time(sec=1761339676, nanosec=331605843), 
1.5515212226984363, -0.12007611305829467, 0.3005264430691118, builtin_interfaces.msg.Time(sec=1761339676, nanosec=427633717), 
1.5871553602934312, 0.12369372943733294, 0.30228082274292084, builtin_interfaces.msg.Time(sec=1761339676, nanosec=523540183), 
1.567422014428482, -0.0685853856296096, 0.3267008565580799, builtin_interfaces.msg.Time(sec=1761339676, nanosec=635895943), 
1.5869761349793745, 0.05801251474451169, 0.32845898891016106, builtin_interfaces.msg.Time(sec=1761339676, nanosec=731357508), 
