e, e_dot, e_int, stamp, 
2.6737509251985307, 0.0, 0.42807750156273755, builtin_interfaces.msg.Time(sec=1761339672, nanosec=635665138), 
2.6737509251985307, 0.0, 0.2554726175537374, builtin_interfaces.msg.Time(sec=1761339672, nanosec=682649127), 
2.6737509251985307, 0.0, 0.3821687035331576, builtin_interfaces.msg.Time(sec=1761339672, nanosec=778598685), 
2.6737509251985307, 0.0, 0.38646878752236646, builtin_interfaces.msg.Time(sec=1761339672, nanosec=827190933), 
2.6737509251985307, 0.0, 0.2989899566070504, builtin_interfaces.msg.Time(sec=1761339672, nanosec=890422847), 
2.6737509251985307, 0.0, 0.25561419801272856, builtin_interfaces.msg.Time(sec=1761339672, nanosec=922792283), 
2.6724036574128847, -0.013873867369268642, 0.3909050312758462, builtin_interfaces.msg.Time(sec=1761339673, nanosec=36648397), 
2.665550200227223, -0.020064673281875084, 0.5549019350457605, builtin_interfaces.msg.Time(sec=1761339673, nanosec=130576500), 
2.654214724791465, -0.04022748986977038, 0.5114153510356201, builtin_interfaces.msg.Time(sec=1761339673, nanosec=228617077), 
2.639065336523121, -0.05150720491422723, 0.509437058034806, builtin_interfaces.msg.Time(sec=1761339673, nanosec=322603610), 
2.618731575395398, -0.07211586766273918, 0.5486637242594156, builtin_interfaces.msg.Time(sec=1761339673, nanosec=436654078), 
2.6035695218131854, -0.04431387217751287, 0.5452088641147869, builtin_interfaces.msg.Time(sec=1761339673, nanosec=530662426), 
2.5884683647672997, -0.05354544699897524, 0.49755167493213387, builtin_interfaces.msg.Time(sec=1761339673, nanosec=627756252), 
2.5731090757209265, -0.05273005737211064, 0.4985182495655379, builtin_interfaces.msg.Time(sec=1761339673, nanosec=723260809), 
2.5556545763779406, -0.06092030192509009, 0.5347992886161373, builtin_interfaces.msg.Time(sec=1761339673, nanosec=835654351), 
2.54032316578944, -0.04546942916139179, 0.5302596384659471, builtin_interfaces.msg.Time(sec=1761339673, nanosec=930688232), 
2.5241753264613993, -0.056638885550163366, 0.48768310335779663, builtin_interfaces.msg.Time(sec=1761339674, nanosec=27651716), 
2.507530148394472, -0.057221465855907316, 0.4829155789729079, builtin_interfaces.msg.Time(sec=1761339674, nanosec=122016977), 
2.486687107209186, -0.0736254032624923, 0.5212983882029842, builtin_interfaces.msg.Time(sec=1761339674, nanosec=235660961), 
2.468005569782873, -0.05479550190799581, 0.5187985924599183, builtin_interfaces.msg.Time(sec=1761339674, nanosec=330586972), 
2.44816374242919, -0.06967471172076989, 0.4737760816464747, builtin_interfaces.msg.Time(sec=1761339674, nanosec=427658234), 
2.4238541107329183, -0.0834769261104688, 0.5100069184500459, builtin_interfaces.msg.Time(sec=1761339674, nanosec=539036001), 
2.4023778119750516, -0.06427464336416656, 0.5043739867296424, builtin_interfaces.msg.Time(sec=1761339674, nanosec=635664786), 
2.3807330985229482, -0.07466620307845602, 0.4625736734918007, builtin_interfaces.msg.Time(sec=1761339674, nanosec=731588763), 
